Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22008","Gross Domestic Product","2015","2015","million SLC","4417870","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22008","Gross Domestic Product","2015","2015","million USD","2810.53164","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6119","Value US$ per capita","22008","Gross Domestic Product","2015","2015","USD","254.40247","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2015","2015","million SLC","4417870","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","2015","2015","USD","254.40247","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2015","2015","million USD","2810.53164","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","2015","2015","%","5.562631","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2015","2015","%","-0.407162","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22008","Gross Domestic Product","2015","2015","%","3.869513","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2015","2015","%","1.539745","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","2015","2015","%","-0.407162","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","2015","2015","%","-2.641004","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22008","Gross Domestic Product","2016","2016","million SLC","4848200","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22008","Gross Domestic Product","2016","2016","million USD","2930.086948","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6119","Value US$ per capita","22008","Gross Domestic Product","2016","2016","USD","260.696625","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2016","2016","million SLC","4559240","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","2016","2016","USD","258.061313","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2016","2016","million USD","2900.467481","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","2016","2016","%","9.740667","X","Figure from international organizations",""
